Movez_code_x,Sex,Gender,age,FAS,Message_choice_mean,Chosen_message_mean,Similarity_mean
7001593.0,Man,Man,16.0,1.8333333333333333,0.6111111111111112,0.23738258261206469,3.0
3755626.0,Vrouw,Vrouw,16.0,2.0,0.5,0.20370406692360113,2.5
1527216.0,Man,"Omschrijf ik liever zelf, namelijk:",16.0,1.1666666666666667,0.3333333333333333,-0.10031606095786717,3.0
5931444.0,Man,Man,16.0,1.3333333333333333,0.4444444444444444,-0.1307269635920681,1.0
1349968.0,Vrouw,Vrouw,16.0,1.5,0.6666666666666666,0.3580425328239578,3.0
4777834.0,Vrouw,Vrouw,16.0,1.5,0.3333333333333333,0.10071816413320343,2.5
8603846.0,Vrouw,Vrouw,16.0,1.3333333333333333,0.2777777777777778,-0.35186701832159456,2.0
1518918.0,Man,Man,16.0,1.8333333333333333,0.3888888888888889,0.17773752626918338,3.0
6626220.0,Man,Man,16.0,1.8333333333333333,0.3888888888888889,0.17773752626918338,3.0
9524209.0,Vrouw,Vrouw,17.0,1.6666666666666667,0.5,-0.0342099645765799,1.0
9748798.0,Vrouw,Vrouw,17.0,1.5,0.3333333333333333,-0.17040923985302214,1.0
5063197.0,Man,Man,17.0,1.6666666666666667,0.5,-0.03929820715533865,1.0
4872755.0,Man,Man,15.0,1.8333333333333333,0.5555555555555556,0.07903880168308196,1.0
6143827.0,Vrouw,Vrouw,16.0,1.6666666666666667,0.3888888888888889,-0.033083110858360416,2.5
8352615.0,Vrouw,Vrouw,16.0,1.3333333333333333,0.4444444444444444,-0.3553412169406265,2.0
5846532.0,Vrouw,Vrouw,16.0,1.6666666666666667,0.5,0.40655036337356765,2.5
3248970.0,Vrouw,Vrouw,16.0,1.1666666666666667,0.5555555555555556,0.33759892552994053,2.5
5703070.0,Vrouw,Vrouw,16.0,1.6666666666666667,0.3888888888888889,0.12868887369822435,3.5
1547958.0,Man,Man,15.0,1.8333333333333333,0.2222222222222222,-0.2540050100625815,2.5
6611559.0,Man,Man,15.0,,0.2222222222222222,-0.2540050100625815,2.5
6317391.0,Vrouw,Vrouw,15.0,1.8333333333333333,0.5555555555555556,-0.18251464368066453,3.5
2000862.0,Vrouw,Vrouw,15.0,1.8333333333333333,0.5555555555555556,-0.18251464368066453,3.5
5704286.0,Man,Man,16.0,1.8333333333333333,0.2777777777777778,0.022815249573195997,1.0
9239981.0,Vrouw,Vrouw,16.0,1.3333333333333333,0.3888888888888889,-0.185998723210594,1.5
7490119.0,Man,Man,15.0,1.5,0.6666666666666666,0.3917994884176111,1.5
2416261.0,Vrouw,Vrouw,15.0,1.1666666666666667,0.3888888888888889,-0.290895700339399,3.0
2198944.0,Man,Man,15.0,1.1666666666666667,0.3888888888888889,0.2342230829694347,4.0
1049218.0,Man,Man,15.0,1.8333333333333333,0.4444444444444444,-0.12933006053465068,4.5
7252563.0,,,,,0.5,0.028448034185906777,3.0
7274215.0,,,,,0.3333333333333333,-0.3875215490034442,1.0
3504199.0,Man,Man,14.0,2.0,0.47619047619047616,0.11245244932162157,3.0
2297058.0,Vrouw,Vrouw,14.0,1.6666666666666667,0.42857142857142855,-0.1457127710458676,3.5
2153146.0,Vrouw,Vrouw,14.0,1.8333333333333333,0.5714285714285714,0.03590473112386437,1.0
5113856.0,Man,Man,1.0,1.3333333333333333,0.2857142857142857,-0.08452940997868542,2.0
3116664.0,Man,Man,1.0,1.6666666666666667,0.47619047619047616,-0.07002615914690563,3.5
5183662.0,Geen ik liever geen antwoord op,Trans man,14.0,1.0,0.47619047619047616,0.1401777918819614,2.0
6860468.0,Man,"Omschrijf ik liever zelf, namelijk:",14.0,1.6666666666666667,0.47619047619047616,0.007169798084196953,1.0
1065863.0,Vrouw,Vrouw,14.0,1.1666666666666667,0.42857142857142855,0.12400636413087969,4.5
2805862.0,Man,Man,14.0,2.0,0.47619047619047616,-0.25712613166665804,3.0
5913936.0,Man,Man,14.0,1.5,0.3333333333333333,-0.14700743773497507,1.0
9089051.0,Vrouw,Vrouw,13.0,1.0,0.42857142857142855,-0.014845371536602097,1.0
4490678.0,Vrouw,Vrouw,14.0,1.3333333333333333,0.47619047619047616,-0.01937892419654798,2.5
6600333.0,Vrouw,Vrouw,14.0,1.8333333333333333,0.5714285714285714,0.14387433146989861,1.0
6255703.0,,,,,0.5714285714285714,0.08423682947866373,1.0
5490716.0,Man,Man,14.0,1.1666666666666667,0.5714285714285714,0.13398785734539492,1.0
3319542.0,Vrouw,Vrouw,14.0,1.1666666666666667,0.6666666666666666,0.3275308431338327,3.0
6989421.0,Man,Man,14.0,1.0,0.5238095238095238,0.303275670510714,4.0
9318626.0,Vrouw,Vrouw,14.0,2.0,0.5714285714285714,0.36161312117539646,4.5
9344851.0,,,,,0.6428571428571429,0.5066715784784311,4.5
5966809.0,Vrouw,Vrouw,14.0,2.1666666666666665,0.42857142857142855,0.0810815779886369,3.0
2509556.0,Man,Man,14.0,1.6666666666666667,0.38095238095238093,-0.13286093790554393,3.0
1054448.0,Vrouw,Vrouw,15.0,1.5,0.42857142857142855,-0.04956792308222106,3.5
4420134.0,,,,,0.5,-0.04973272674355803,3.5
4398768.0,Man,Man,14.0,2.1666666666666665,0.38095238095238093,-0.14982434352483026,3.5
1393491.0,Man,Man,14.0,1.6666666666666667,0.42857142857142855,-0.3965574404567522,1.0
2797540.0,Vrouw,Vrouw,15.0,1.6666666666666667,0.5714285714285714,0.24041271463154407,4.0
2141126.0,Man,Man,14.0,2.0,0.47619047619047616,0.20163494887960504,3.5
